Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
PacWave East,576280,Oregon,44.6899 N,124.1346 W,0,-7,0,-,s,deg,s,deg,s,W/m,s,m,-,0,v1.0.0
wave height,wave period,Year,Month,Day,Hour,Minute,,,,,,,,,,,,,
3.96809,9.0372,2010,1,1,0,0,,,,,,,,,,,,,
4.14,9.1737,2010,1,1,3,0,,,,,,,,,,,,,
5.1725,9.3227,2010,1,1,6,0,,,,,,,,,,,,,
6.73865,10.4141,2010,1,1,9,0,,,,,,,,,,,,,
8.21086,11.7646,2010,1,1,12,0,,,,,,,,,,,,,
8.03346,12.3078,2010,1,1,15,0,,,,,,,,,,,,,
7.62151,12.3555,2010,1,1,18,0,,,,,,,,,,,,,
7.10287,12.148,2010,1,1,21,0,,,,,,,,,,,,,
6.56551,11.7721,2010,1,2,0,0,,,,,,,,,,,,,
6.04688,11.3663,2010,1,2,3,0,,,,,,,,,,,,,
5.45285,11.1247,2010,1,2,6,0,,,,,,,,,,,,,
4.90836,10.8467,2010,1,2,9,0,,,,,,,,,,,,,
4.40157,10.5627,2010,1,2,12,0,,,,,,,,,,,,,
3.97703,10.2922,2010,1,2,15,0,,,,,,,,,,,,,
3.59878,10.0544,2010,1,2,18,0,,,,,,,,,,,,,
3.21709,9.8121,2010,1,2,21,0,,,,,,,,,,,,,
2.85603,9.6112,2010,1,3,0,0,,,,,,,,,,,,,
2.5527,9.4299,2010,1,3,3,0,,,,,,,,,,,,,
2.40599,8.8006,2010,1,3,6,0,,,,,,,,,,,,,
2.64843,7.7117,2010,1,3,9,0,,,,,,,,,,,,,
2.81063,7.414,2010,1,3,12,0,,,,,,,,,,,,,
2.82908,7.3101,2010,1,3,15,0,,,,,,,,,,,,,
2.8169,7.3868,2010,1,3,18,0,,,,,,,,,,,,,
2.99057,7.5591,2010,1,3,21,0,,,,,,,,,,,,,
3.23678,7.8231,2010,1,4,0,0,,,,,,,,,,,,,
3.71061,8.0815,2010,1,4,3,0,,,,,,,,,,,,,
4.09422,8.5843,2010,1,4,6,0,,,,,,,,,,,,,
4.41697,9.0689,2010,1,4,9,0,,,,,,,,,,,,,
4.23558,9.7062,2010,1,4,12,0,,,,,,,,,,,,,
3.84835,9.8678,2010,1,4,15,0,,,,,,,,,,,,,
3.49856,9.8235,2010,1,4,18,0,,,,,,,,,,,,,
3.20734,9.6664,2010,1,4,21,0,,,,,,,,,,,,,
2.93999,9.5007,2010,1,5,0,0,,,,,,,,,,,,,
2.71346,9.2548,2010,1,5,3,0,,,,,,,,,,,,,
2.52651,9.0672,2010,1,5,6,0,,,,,,,,,,,,,
2.34697,8.9323,2010,1,5,9,0,,,,,,,,,,,,,
2.17658,8.8114,2010,1,5,12,0,,,,,,,,,,,,,
2.03078,8.7225,2010,1,5,15,0,,,,,,,,,,,,,
2.0037,8.2994,2010,1,5,18,0,,,,,,,,,,,,,
2.26665,7.3837,2010,1,5,21,0,,,,,,,,,,,,,
2.50925,7.4427,2010,1,6,0,0,,,,,,,,,,,,,
2.50461,8.0774,2010,1,6,3,0,,,,,,,,,,,,,
2.55656,8.7964,2010,1,6,6,0,,,,,,,,,,,,,
2.68496,9.3877,2010,1,6,9,0,,,,,,,,,,,,,
2.74162,9.6939,2010,1,6,12,0,,,,,,,,,,,,,
2.72769,9.8521,2010,1,6,15,0,,,,,,,,,,,,,
2.68778,9.8531,2010,1,6,18,0,,,,,,,,,,,,,
2.64154,9.8367,2010,1,6,21,0,,,,,,,,,,,,,
2.66215,9.7608,2010,1,7,0,0,,,,,,,,,,,,,
2.90152,9.4204,2010,1,7,3,0,,,,,,,,,,,,,
3.16856,9.7345,2010,1,7,6,0,,,,,,,,,,,,,
3.59284,10.227,2010,1,7,9,0,,,,,,,,,,,,,
4.18388,10.3322,2010,1,7,12,0,,,,,,,,,,,,,
4.78304,10.2844,2010,1,7,15,0,,,,,,,,,,,,,
5.31309,10.5045,2010,1,7,18,0,,,,,,,,,,,,,
5.22147,11.0165,2010,1,7,21,0,,,,,,,,,,,,,
4.85204,11.4592,2010,1,8,0,0,,,,,,,,,,,,,
4.56586,11.6056,2010,1,8,3,0,,,,,,,,,,,,,
4.31988,11.6296,2010,1,8,6,0,,,,,,,,,,,,,
4.0881,11.6018,2010,1,8,9,0,,,,,,,,,,,,,
3.87855,11.6057,2010,1,8,12,0,,,,,,,,,,,,,
3.77063,11.3043,2010,1,8,15,0,,,,,,,,,,,,,
4.16356,10.1676,2010,1,8,18,0,,,,,,,,,,,,,
4.1957,10.1713,2010,1,8,21,0,,,,,,,,,,,,,
4.01746,10.3577,2010,1,9,0,0,,,,,,,,,,,,,
3.96577,10.3284,2010,1,9,3,0,,,,,,,,,,,,,
4.0166,10.6403,2010,1,9,6,0,,,,,,,,,,,,,
4.2016,11.3354,2010,1,9,9,0,,,,,,,,,,,,,
4.48859,12.2605,2010,1,9,12,0,,,,,,,,,,,,,
4.73502,12.9492,2010,1,9,15,0,,,,,,,,,,,,,
4.82358,13.2322,2010,1,9,18,0,,,,,,,,,,,,,
4.77978,13.1038,2010,1,9,21,0,,,,,,,,,,,,,
