Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,145809,-,-,-,39.73,-105.18,-7,1820,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,0,30,-11,0,0,0,0,-18,0,0,0,0,69.23,162.4,0.866,800.0,0.322,245.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,1,30,-11,0,0,0,0,-17,0,0,0,0,66.5,155.31,0.866,800.0,0.328,237.9,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,2,30,-11,0,0,0,0,-17,0,0,0,0,69.83,144.99,0.866,800.0,0.34,237.60000000000002,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,3,30,-10,0,0,0,0,-16,0,0,0,0,72.99,133.69,0.866,800.0,0.358,247.3,1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,4,30,-10,0,0,0,0,-16,0,0,0,0,74.5,122.17,0.866,800.0,0.375,278.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,5,30,-11,0,0,0,0,-16,0,0,0,0,73.01,110.78,0.866,800.0,0.393,314.70000000000005,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,6,30,-11,0,0,0,0,-17,0,0,0,0,71.33,99.79,0.866,800.0,0.41500000000000004,323.70000000000005,1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,7,30,-10,0,0,0,0,-17,0,0,0,0,64.2,89.47,0.866,800.0,0.445,317.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,
